ticker,tipo_activo,dollar_volume_promedio
MU,equity,34731967545.25955
NVDA,equity,30612995479.367447
TSLA,equity,19379644092.6274
SNDK,equity,18801210501.988308
SPCX,equity,16112003257.360859
MSFT,equity,14695680086.805073
AAPL,equity,14382360651.46809
AMD,equity,12631331341.47169
AMZN,equity,11357850964.116373
INTC,equity,11030496325.636143
META,equity,10274370319.884232
GOOGL,equity,10238625904.792692
AVGO,equity,9442538725.187946
MRVL,equity,7024094938.354362
GOOG,equity,6909536981.949835
PLTR,equity,6268525518.52736
SKHY,equity,5302699795.189179
TSM,equity,5302083802.040172
LITE,equity,4724424845.954667
ORCL,equity,4644948884.421481
AMAT,equity,3930351739.777954
WDC,equity,3771223905.019013
NBIS,equity,3673793556.528717
NFLX,equity,3365772152.111987
STX,equity,3238718196.126292
LLY,equity,3153068708.14244
LRCX,equity,3117935041.8102374
QCOM,equity,3114479505.9739246
ASML,equity,2827273368.614424
BE,equity,2818485484.8549423
JPM,equity,2765978172.0221276
CRWV,equity,2739508922.144588
XOM,equity,2718291063.3236957
CRM,equity,2689488421.817576
DELL,equity,2670905032.825772
MSTR,equity,2629089064.388984
GEV,equity,2606804435.817152
WMT,equity,2604361458.9457345
NOW,equity,2583742114.8616843
V,equity,2521991798.2953353
UNH,equity,2445239568.20166
CAT,equity,2442461795.066488
CSCO,equity,2385105608.572242
HOOD,equity,2371870456.677684
APP,equity,2354436751.2455335
GLW,equity,2244311613.8286743
KLAC,equity,2192470492.182371
ARM,equity,2173509700.674534
RKLB,equity,2107093649.2529874
COHR,equity,2095065781.6910179
TXN,equity,2066709719.3690906
IBM,equity,2048849744.565382
GS,equity,2036198757.9863834
IREN,equity,2016892955.7633276
COST,equity,2012119805.3261833
PANW,equity,1934631426.7776146
BAC,equity,1931175838.8771443
CVX,equity,1921832940.7737885
VRT,equity,1920238478.056485
CRWD,equity,1880785049.3171675
JNJ,equity,1861897518.7696197
MA,equity,1777837776.7940948
COIN,equity,1717328015.2801461
CBRS,equity,1673932004.9912758
AAOI,equity,1643737213.7720945
GE,equity,1613969736.532724
ADI,equity,1567109529.2795367
C,equity,1540303246.0060925
SMCI,equity,1516318261.5186422
INTU,equity,1493735767.8333795
ABBV,equity,1476923331.969648
BABA,equity,1475829809.9697762
SNOW,equity,1468378360.8811305
